year,symbol,close
2019,NFLX,323.57000732421875
2020,NFLX,540.72998046875
2021,NFLX,602.4400024414062
2022,NFLX,294.8800048828125
2023,NFLX,486.8800048828125
2019,ADBE,329.80999755859375
2020,ADBE,500.1199951171875
2021,ADBE,567.0599975585938
2022,ADBE,336.5299987792969
2023,ADBE,596.5999755859375
2019,KO,55.349998474121094
2020,KO,54.84000015258789
2021,KO,59.209999084472656
2022,KO,63.61000061035156
2023,KO,58.93000030517578
2019,ACN,210.57000732421875
2020,ACN,261.2099914550781
2021,ACN,414.54998779296875
2022,ACN,266.8399963378906
2023,ACN,350.9100036621094
2019,PEP,136.6699981689453
2020,PEP,148.3000030517578
2021,PEP,173.7100067138672
2022,PEP,180.66000366210938
2023,PEP,169.83999633789062
2019,FMX,94.51000213623047
2020,FMX,75.7699966430664
2021,FMX,77.70999908447266
2022,FMX,78.12000274658203
2023,FMX,130.35000610351562
2019,SAP,133.99000549316406
2020,SAP,130.38999938964844
2021,SAP,140.11000061035156
2022,SAP,103.19000244140625
2023,SAP,154.58999633789062
2019,TMO,324.8699951171875
2020,TMO,465.7799987792969
