fiscal_date,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,symbol
31/12/2020,24539800000.0,5483300000.0,19056500000.0,7101400000.0,455100000.0,6193700000.0,6.47477,6.47477,956590000.0,956590000.0,8262800000.0,6193700000.0,,,6085700000.0,5869400000.0,,33000000.0,359600000.0,LLY
31/12/2023,,,,,,,161.7,161.7,5185514310.0,5185514310.0,,,,,,,,,,TSM
31/12/2022,2263890000000.0,915537000000.0,1348350000000.0,1121280000000.0,12121100000.0,993295000000.0,191.45,191.45,5185840000.0,5185840000.0,1589660000000.0,1144070000000.0,-371300000.0,,163262000000.0,63445300000.0,368400000.0,22422200000.0,11750000000.0,TSM
31/12/2021,1587420000000.0,767878000000.0,819537000000.0,649981000000.0,12760500000.0,592881000000.0,114.2,114.2,5186060000.0,5186060000.0,1085060000000.0,663036000000.0,-521400000.0,,124735000000.0,44488200000.0,333400000.0,5708800000.0,5414200000.0,TSM
31/12/2020,1339250000000.0,628125000000.0,711130000000.0,566784000000.0,11025700000.0,511008000000.0,98.5,98.5,5186060000.0,5186060000.0,912176000000.0,584746000000.0,-264000000.0,,109486000000.0,35570400000.0,-710000000.0,9018400000.0,2081500000.0,TSM
31/10/2023,35819000000.0,11129000000.0,24690000000.0,16451000000.0,-267000000.0,14082000000.0,,,415000000.0,,20787000000.0,14082000000.0,,,5253000000.0,1592000000.0,,535000000.0,1622000000.0,AVGO
31/10/2022,33203000000.0,11108000000.0,22095000000.0,14282000000.0,-211000000.0,11495000000.0,27.371401,26.463676,410025054.0,410025054.0,19381000000.0,11495000000.0,,,4919000000.0,1382000000.0,,100000000.0,1737000000.0,AVGO
31/10/2021,27450000000.0,10606000000.0,16844000000.0,8667000000.0,-33000000.0,6736000000.0,15.66075,14.9625,411027560.0,411027560.0,14740000000.0,6736000000.0,,,4854000000.0,1347000000.0,,16000000.0,1885000000.0,AVGO
31/10/2020,23888000000.0,10372000000.0,13516000000.0,4212000000.0,-45000000.0,2960000000.0,6.60345,6.314175,403007510.0,403007510.0,11176000000.0,2960000000.0,0.0,,4968000000.0,1935000000.0,,53000000.0,1777000000.0,AVGO
31/12/2023,96773000000.0,79113000000.0,17660000000.0,8891000000.0,172000000.0,14974000000.0,,,,,14796000000.0,14974000000.0,25000000.0,,3969000000.0,4800000000.0,,1066000000.0,156000000.0,TSLA
31/12/2022,81462000000.0,60609000000.0,20853000000.0,13832000000.0,-219000000.0,12587000000.0,4.02,3.62,3130000000.0,3130000000.0,17833000000.0,12587000000.0,-4000000.0,,3075000000.0,3946000000.0,,297000000.0,191000000.0,TSLA
31/12/2021,53823000000.0,40217000000.0,13606000000.0,6496000000.0,162000000.0,5644000000.0,1.87,1.63,2959000000.0,2959000000.0,9598000000.0,5644000000.0,-120000000.0,,2593000000.0,4517000000.0,,56000000.0,371000000.0,TSLA
31/12/2020,31536000000.0,24906000000.0,6630000000.0,1994000000.0,-122000000.0,862000000.0,0.246667,0.213333,2799000000.0,2799000000.0,4224000000.0,862000000.0,-141000000.0,,1491000000.0,3145000000.0,,30000000.0,748000000.0,TSLA
30/09/2023,32653000000.0,6567000000.0,26086000000.0,21927000000.0,-246000000.0,17273000000.0,8.29,8.28,1618000000.0,1618000000.0,22870000000.0,17273000000.0,,,,3216000000.0,,,644000000.0,V
30/09/2022,29310000000.0,5733000000.0,23577000000.0,19681000000.0,-1007000000.0,14957000000.0,7.01,7.0,1651000000.0,1651000000.0,20542000000.0,14957000000.0,,,,3035000000.0,,,538000000.0,V
30/09/2021,24105000000.0,4970000000.0,19135000000.0,15807000000.0,769000000.0,12311000000.0,5.63,5.63,1691000000.0,1691000000.0,16611000000.0,12311000000.0,,,,2524000000.0,,,513000000.0,V
30/09/2020,21846000000.0,4512000000.0,17334000000.0,14092000000.0,214000000.0,10866000000.0,4.9,4.89,2139000000.0,2139000000.0,14859000000.0,10866000000.0,,,,2475000000.0,,,516000000.0,V
31/12/2023,232261000000.0,35765000000.0,196496000000.0,102574000000.0,1770000000.0,83683000000.0,18.67,18.62,4482800000.0,4482800000.0,112940000000.0,83683000000.0,,,32443000000.0,61598000000.0,-119000000.0,1069000000.0,542000000.0,NVO
31/12/2022,176954000000.0,28448000000.0,148506000000.0,74809000000.0,-5427000000.0,55525000000.0,12.26,12.22,4530600000.0,4530600000.0,82040000000.0,55525000000.0,,,24047000000.0,50684000000.0,-1034000000.0,239000000.0,378000000.0,NVO
31/12/2021,140800000000.0,23658000000.0,117142000000.0,58644000000.0,616000000.0,47757000000.0,10.4,10.37,4593200000.0,4593200000.0,64754000000.0,47757000000.0,,,17772000000.0,41058000000.0,-332000000.0,231000000.0,289000000.0,NVO
31/12/2020,126946000000.0,20932000000.0,106014000000.0,54126000000.0,-793000000.0,42138000000.0,9.025,9.005,4667800000.0,4667800000.0,60215000000.0,42138000000.0,,,15462000000.0,36886000000.0,-460000000.0,337000000.0,390000000.0,NVO
31/12/2023,154952000000.0,,,,,49552000000.0,16.25,16.23,2938600000.0,2938600000.0,,49552000000.0,,291000000.0,,51056000000.0,,,,JPM
31/12/2022,128641000000.0,,,,,37676000000.0,12.1,12.09,2965800000.0,2965800000.0,,37676000000.0,,189000000.0,,45547000000.0,,,,JPM
31/12/2021,121685000000.0,,,,,48334000000.0,15.39,15.36,3021500000.0,3021500000.0,,48334000000.0,,231000000.0,,41603000000.0,,,,JPM
31/12/2020,119883000000.0,,,,,29131000000.0,8.89,8.88,3082400000.0,3082400000.0,,29131000000.0,,138000000.0,,37464000000.0,,,,JPM
31/01/2024,,,,,,,5.76,5.74,2692000000.0,2692000000.0,,,,,,,,,,WMT
31/01/2023,611289000000.0,463721000000.0,147568000000.0,20428000000.0,-1538000000.0,11292000000.0,4.29,4.27,2724000000.0,2724000000.0,30089000000.0,11292000000.0,388000000.0,,,127140000000.0,,254000000.0,2128000000.0,WMT
31/01/2022,572754000000.0,429000000000.0,143754000000.0,25942000000.0,-5410000000.0,13940000000.0,4.9,4.87,2792000000.0,2792000000.0,33758000000.0,13940000000.0,-267000000.0,,,117812000000.0,,158000000.0,1994000000.0,WMT
